platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
"Caixa Geral de Depósitos, Grupo",CC104,Credit Card Transactions,Portugal,,1
Caixabank SA,CC105,Credit Card Transactions,Spain,,2
Canadian Imperial Bank of Commerce (CIBC),CC106,Credit Card Transactions,Canada,,1
Capital One Financial Corp,CC109,Credit Card Transactions,United States,,3
Carrefour SA,CC111,Credit Card Transactions,France,,1
Cathay Financial Holding Co Ltd,CC113,Credit Card Transactions,Taiwan,,1
Chevron Corp,CC116,Credit Card Transactions,United States,,2
China Construction Bank Corp,CC117,Credit Card Transactions,China,,1
China Everbright Bank Co Ltd,CC118,Credit Card Transactions,China,,1
China Guangfa Bank Co Ltd,CC119,Credit Card Transactions,China,,1
China Merchants Bank Co Ltd,CC120,Credit Card Transactions,China,,1
China Minsheng Banking Corp Ltd,CC121,Credit Card Transactions,China,,1
Chinatrust Financial Holding Co Ltd,CC122,Credit Card Transactions,Taiwan,,1
Citigroup Inc,CC125,Credit Card Transactions,United States,,15
Commercial International Bank,CC127,Credit Card Transactions,Egypt,,1
Commerzbank AG,CC128,Credit Card Transactions,Germany,,2
Commonwealth Bank of Australia (CBA),CC129,Credit Card Transactions,Australia,,1
Credit Europe Bank NV,CC133,Credit Card Transactions,Netherlands,,1
Credit Saison Co Ltd,CC135,Credit Card Transactions,Japan,,1
"Crédit Agricole, Groupe",CC131,Credit Card Transactions,France,,4
"Crédit Mutuel, Groupe",CC134,Credit Card Transactions,France,,1
DBS Bank (Taiwan) Ltd,CC139,Credit Card Transactions,Taiwan,,1
DBS Group Holdings Ltd,CC141,Credit Card Transactions,Singapore,,2
DNB ASA,CC148,Credit Card Transactions,Norway,,1
Danske Bank Group,CC138,Credit Card Transactions,Denmark,,3
Desjardins Group,CC142,Credit Card Transactions,Canada,,1
Deutsche Bank AG,CC143,Credit Card Transactions,Germany,,2
Deutsche Lufthansa AG,CC144,Credit Card Transactions,Germany,,34
Deutscher Sparkassen- & Giroverband eV (DSGV),CC145,Credit Card Transactions,Germany,,1
E Sun Financial Holding Co Ltd,CC151,Credit Card Transactions,Taiwan,,1
EFG Eurobank Ergasias SA,CC154,Credit Card Transactions,Greece,,1
East West Banking Corp,CC153,Credit Card Transactions,Philippines,,1
Emirates NBD,CC156,Credit Card Transactions,United Arab Emirates,,2
EnterCard Group AB,CC157,Credit Card Transactions,Sweden,,2
Erste Group Bank AG,CC158,Credit Card Transactions,Austria,,3
FBN Holdings Plc,CC161,Credit Card Transactions,Nigeria,,1
Fidelity Bank Plc,CC162,Credit Card Transactions,Nigeria,,1
First Abu Dhabi Bank PJSC,CC164,Credit Card Transactions,United Arab Emirates,,1
FirstRand Bank Ltd,CC166,Credit Card Transactions,South Africa,,1
Fubon Financial Holding Co Ltd,CC167,Credit Card Transactions,Taiwan,,2
Garanti Bankasi AS,CC168,Credit Card Transactions,Turkey,,2
Groupe BCP,CC169,Credit Card Transactions,Morocco,,1
Grupo Financiero Banorte SAB de CV,CC170,Credit Card Transactions,Mexico,,1
Grupo Santander,CC172,Credit Card Transactions,Spain,,1
Guaranty Trust Bank Plc,CC173,Credit Card Transactions,Nigeria,,1
HDFC Bank Ltd,CC176,Credit Card Transactions,India,,1
HSBC Holdings Plc,CC179,Credit Card Transactions,United Kingdom,,15
Hana Financial Group Inc,CC174,Credit Card Transactions,South Korea,,1
Hang Seng Bank Ltd,CC175,Credit Card Transactions,Hong Kong SAR China,,1
Hong Leong Bank Bhd,CC178,Credit Card Transactions,Malaysia,,1
Hyundai Group,CC182,Credit Card Transactions,South Korea,,1
ICC CAL Ltd,CC184,Credit Card Transactions,Israel,,1
ICICI Bank Ltd,CC185,Credit Card Transactions,India,,1
ING Groep NV,CC189,Credit Card Transactions,Netherlands,,5
Industrial & Commercial Bank of China Ltd,CC187,Credit Card Transactions,China,,3
Industrial Bank Co Ltd,CC188,Credit Card Transactions,China,,1
Intercorp Perú Ltd,CC190,Credit Card Transactions,Peru,,1
International Card Services BV,CC191,Credit Card Transactions,Netherlands,,1
Investec Bank Ltd,CC194,Credit Card Transactions,South Africa,,1
IsraCard Ltd,CC195,Credit Card Transactions,Israel,,1
Itaú Unibanco Holding SA,CC196,Credit Card Transactions,Brazil,,3
JCB Co Ltd,CC198,Credit Card Transactions,Japan,,1
JP Morgan Chase & Co,CC199,Credit Card Transactions,United States,,1
JSC Bank for Foreign Trade of Vietnam (Vietcombank),CC200,Credit Card Transactions,Vietnam,,1
Jyske Bank A/S,CC201,Credit Card Transactions,Denmark,,1
KB Kookmin Card Co Ltd,CC203,Credit Card Transactions,South Korea,,1
KBC Bank & Insurance Holding Co,CC204,Credit Card Transactions,Belgium,,2
Kasikorn Bank PCL,CC202,Credit Card Transactions,Thailand,,1
Krung Thai Bank PCL,CC206,Credit Card Transactions,Thailand,,1
"La Poste, Groupe",CC207,Credit Card Transactions,France,,1
LaSer Group,CC209,Credit Card Transactions,France,,1
Landesbank Berlin Holding AG,CC208,Credit Card Transactions,Germany,,1
Lloyds Banking Group Plc,CC211,Credit Card Transactions,United Kingdom,,1
Lotte Group,CC212,Credit Card Transactions,South Korea,,3
MBH Bank Nyrt,CC216,Credit Card Transactions,Hungary,,1
MLP AG,CC220,Credit Card Transactions,Germany,,1
Malayan Banking Bhd,CC213,Credit Card Transactions,Malaysia,,3
Mashreq Bank,CC215,Credit Card Transactions,United Arab Emirates,,1
Metropolitan Bank & Trust Co - Metrobank - MBTC,CC217,Credit Card Transactions,Philippines,,1
Military Commercial Joint Stock Bank,CC218,Credit Card Transactions,Vietnam,,1
Mitsubishi UFJ Financial Group Inc,CC219,Credit Card Transactions,Japan,,1
Moneta Money Bank as,CC221,Credit Card Transactions,Czech Republic,,1
NOBA Bank Group AB,CC233,Credit Card Transactions,Sweden,,1
